Your Input	WormBase Gene ID	Public Name	Species	Biotype	Sequence Name	Other Name	Expr_pattern Tissue	Genomic Study Tissue	Gene Ontology Association
WBGene00000001	WBGene00000001	aap-1	Caenorhabditis elegans	protein_coding_gene	Y110A7A.10	CELE_Y110A7A.10	anchor cell, body wall musculature, hypodermis, intestine, neuron	dopaminergic neuron, germ line, neuron, OLL, PVD, Q cell	"1-phosphatidylinositol-3-kinase regulator activity", "dauer larval development", "determination of adult lifespan", "insulin receptor signaling pathway", "kinase activity", "phosphatidylinositol 3-kinase complex", "phosphatidylinositol 3-kinase complex, class IA", "protein kinase binding"
WBGene00000002	WBGene00000002	aat-1	Caenorhabditis elegans	protein_coding_gene	F27C8.1	CELE_F27C8.1	excretory cell, excretory gland cell, gonadal sheath cell, head neuron, intestine, nerve ring, nervous system, Pharyngeal gland cell, pharyngeal neuron, pharynx, rectal gland cell, reproductive system, RIML, RIMR, RMDVL, RMDVR, tail, uterine muscle, uterine-vulval cell, ventral cord neuron, vulval muscle	arcade cell, CEPsoDL, DA neuron, e2, excretory cell, excretory gland cell, excretory secretory system, g1AL, g1AR, g1P, GABAergic neuron, head mesodermal cell, intestine, M cell, M2 neuron, m2L, mc1DL, mc1DR, mc1V, mc2, mc2DL, mc2DR, mc2V, mc3, neuron, pharyngeal epithelial cell, pm1, pm2, pm6, posterior arcade cell, RMH, sensory neuron, uv1, VA neuron	"amino acid transmembrane transport", "amino acid transport complex", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "plasma membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000003	WBGene00000003	aat-2	Caenorhabditis elegans	protein_coding_gene	F07C3.7	CELE_F07C3.7	N.A.	AFD, body wall muscle cell, GABAergic neuron, germ line, head mesodermal cell, HSNL, muscle cell, oocyte, RIH, sensory neuron	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000004	WBGene00000004	aat-3	Caenorhabditis elegans	protein_coding_gene	F52H2.2	CELE_F52H2.2	N.A.	ABalaappppa, ABalapaappa, ABalapapapa, ABalapappaa, ABalapppapa, ABalappppaa, ABalppapppa, ABalppppapa, ABalppppppp, ABarapppppa, ABplaapaap, ABplpaaappa, ABplpaapap, ABpraaapapa, ABpraaapppp, ABpraapaap, ABprpaaappa, ABprpaapap, ADE sheath cell, ADE socket cell, AFD, AIZL, AIZR, amphid sheath cell, amphid socket cell, AVAL, AVAR, CEP socket cell, cephalic sheath cell, CEPshDL, CEPshDR, CEPshVL, CEPshVR, DD neuron, DD1, DD2, DD3, DD4, DD5, DD6, GABAergic neuron, germ line, head mesodermal cell, IL sheath cell, IL socket cell, neuron, OL sheath cell, OL socket cell, OLL, oocyte, PDE sheath cell, PDE socket cell, phasmid sheath cell, phasmid socket cell, PVD, PVR, sensory neuron, SIBDL, SIBDR, SIBVL, SIBVR, somatic gonad precursor, VC4, VC5, VD neuron, VD1, VD10, VD11, VD12, VD13, VD2, VD3, VD4, VD5, VD6, VD7, VD8, VD9	"amino acid transmembrane transport", "amino acid transport complex", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "plasma membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000005	WBGene00000005	aat-4	Caenorhabditis elegans	protein_coding_gene	T13A10.10	CELE_T13A10.10	N.A.	AVJ, AVJL, AVJR, gonadal sheath cell, intestine, spermathecal-uterine valve cell	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000006	WBGene00000006	aat-5	Caenorhabditis elegans	protein_coding_gene	C55C2.5	CELE_C55C2.5	N.A.	AVE, AVK, DA neuron, DVA, head mesodermal cell, I5 neuron, intestine, lumbar ganglion, muscle cell, neuron, pharyngeal muscle cell, pm6, pm7, retrovesicular ganglion, RIAL, RIS, SAB, sensory neuron, VA neuron, VB2	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000007	WBGene00000007	aat-6	Caenorhabditis elegans	protein_coding_gene	T11F9.4	CELE_T11F9.4	intestine	AFDL, AFDR, intestine, PVR	"amino acid transmembrane transport", "amino acid transport complex", "amino acid transport", "apical plasma membrane", "intracellular amino acid homeostasis", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "L-amino acid transport", "membrane", "PDZ domain binding", "plasma membrane", "protein binding", "transmembrane transport", "transmembrane transporter activity"
WBGene00000008	WBGene00000008	aat-7	Caenorhabditis elegans	protein_coding_gene	F54D12.3	F54D12.f, F54D12.f, CELE_F54D12.3	N.A.	intestine	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000009	WBGene00000009	aat-8	Caenorhabditis elegans	protein_coding_gene	F28F9.4	CELE_F28F9.4	N.A.	ABplapppaa, ABplppaaaap, ABprapppaa, ABprppaaaap, DD1, DD2, DD3, DD4, DD5, DD6, MSpaapaa	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000010	WBGene00000010	aat-9	Caenorhabditis elegans	protein_coding_gene	Y53H1C.1	CELE_Y53H1C.1	body wall musculature, neuron	germ line, germline precursor cell, intestine, oocyte, somatic gonad precursor	"amino acid transmembrane transport", "cell surface", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000011	WBGene00000011	abc-1	Caenorhabditis elegans	N.A.	N.A.	N.A.	N.A.	N.A.	"mitotic sister chromatid separation"
WBGene00000012	WBGene00000012	abf-1	Caenorhabditis elegans	protein_coding_gene	C50F2.9	CELE_C50F2.9	amphid neuron, body wall musculature, head neuron, intestine, pharyngeal lumen, pharynx	muscle cell, spermatheca	"defense response to other organism", "extracellular region"
WBGene00000013	WBGene00000013	abf-2	Caenorhabditis elegans	protein_coding_gene	C50F2.10	C50F2.e, C50F2.e, CELE_C50F2.10	excretory cell, marginal cell, pharyngeal neuron	AMshL, excretory canal, excretory cell, excretory gland cell, g2L, hyp2, m3L, mc3, Pharyngeal gland cell, rect_D, rectal gland cell, spermathecal-uterine junction, uterine seam cell, uv2, uv3	"defense response to bacterium", "defense response to fungus", "defense response to Gram-negative bacterium", "defense response to Gram-positive bacterium", "defense response to other organism", "extracellular region", "killing of cells of another organism", "molecular_function"
WBGene00000014	WBGene00000014	abf-3	Caenorhabditis elegans	protein_coding_gene	F54B8.5	CELE_F54B8.5	intestine, rectal gland cell	amphid sheath cell, dopaminergic neuron	"defense response to Gram-negative bacterium", "innate immune response", "molecular_function"
WBGene00000015	WBGene00000015	abf-4	Caenorhabditis elegans	protein_coding_gene	Y38H6C.22	CELE_Y38H6C.22	N.A.	N.A.	N.A.
WBGene00000016	WBGene00000016	abf-5	Caenorhabditis elegans	protein_coding_gene	T22H6.5	CELE_T22H6.5	N.A.	e2, FLP, g2L, mc2, mc2DL, pharyngeal epithelial cell, Pharyngeal gland cell, pharyngeal muscle cell, pm1, pm2, pm3, pm4, pm6, pm7	N.A.
WBGene00000017	WBGene00000017	abf-6	Caenorhabditis elegans	protein_coding_gene	T22H6.7	CELE_T22H6.7	N.A.	arcade cell, CEPsoDL, e2, mc2, mc2DL, pharyngeal epithelial cell, pharyngeal muscle cell, pm1, pm2, pm3, pm4, pm6, posterior arcade cell	N.A.
WBGene00000018	WBGene00000018	abl-1	Caenorhabditis elegans	protein_coding_gene	M79.1	CELE_M79.1	AQR, germ cell, head neuron, pharynx, Q cell, tail neuron, ventral cord neuron, ventral nerve cord	DA neuron, dopaminergic neuron, I5 neuron, intestine, neuron, OLL, oocyte, PLM, pm6, PVD, Q cell, retrovesicular ganglion, SAB, sensory neuron, VA neuron	"ATP binding", "cell communication", "cytoplasm", "defense response to fungus", "defense response to Gram-negative bacterium", "DNA damage checkpoint signaling", "kinase activity", "membrane", "negative regulation of apoptotic process", "negative regulation of cell migration", "negative regulation of DNA damage response, signal transduction by p53 class mediator", "negative regulation of engulfment of apoptotic cell", "non-membrane spanning protein tyrosine kinase activity", "nucleotide binding", "plasma membrane", "protein binding", "protein kinase activity", "protein phosphorylation", "protein tyrosine kinase activity", "regulation of cellular component organization", "response to ionizing radiation", "signaling", "spermatogenesis", "transferase activity"
WBGene00000019	WBGene00000019	abt-1	Caenorhabditis elegans	protein_coding_gene	C24F3.5	CELE_C24F3.5	N.A.	AWB, germ line, male, VD neuron, VD12	"ATP binding", "ATP hydrolysis activity", "ATPase-coupled transmembrane transporter activity", "intracellular membrane-bounded organelle", "lipid transport", "lipid transporter activity", "membrane", "regulatory ncRNA-mediated post-transcriptional gene silencing", "transmembrane transport"
WBGene00000020	WBGene00000020	abt-2	Caenorhabditis elegans	protein_coding_gene	F12B6.1	Y39G10AL.b, Y39G10AL.b, CELE_F12B6.1	N.A.	ALML, arcade cell, AVM, intestine, MC neuron, MCL, MCR, neuron, PLML, PLMR, PVM, sensory neuron	"ABC-type transporter activity", "ATP binding", "ATP hydrolysis activity", "ATPase-coupled transmembrane transporter activity", "intracellular membrane-bounded organelle", "lipid transport", "lipid transporter activity", "membrane", "nucleotide binding", "transmembrane transport"
WBGene00000021	WBGene00000021	abt-3	Caenorhabditis elegans	pseudogene	F55G11.9	CELE_F55G11.9	N.A.	male	N.A.
WBGene00000022	WBGene00000022	abt-4	Caenorhabditis elegans	protein_coding_gene	Y39D8C.1	CELE_Y39D8C.1	AMsoL, AMsoR, head, head neuron, hypodermis, intestine, nervous system, pharyngeal neuron, pharyngeal-intestinal valve, pharynx, rectal gland cell, tail	body wall musculature, CEPshDL, CEPshDR, CEPshVL, CEPshVR, dorsal nerve cord, head mesodermal cell, I1L, I3 neuron, I6 neuron, intestinal cell, intestine, M2 neuron, m2L, m3L, MCL, nerve ring, NSM, NSML, OLL, pharyngeal muscle cell, pharyngeal-intestinal valve, PVD, rect_D, rect_VL, rect_VR, rectal gland cell, rectal valve cell, somatic neuron, tail neuron, ventral nerve cord, virL, vulval muscle	"ABC-type transporter activity", "ATP binding", "ATP hydrolysis activity", "ATPase-coupled transmembrane transporter activity", "intracellular membrane-bounded organelle", "lipid transport", "lipid transporter activity", "membrane", "nucleotide binding", "transmembrane transport"
WBGene00000023	WBGene00000023	abt-5	Caenorhabditis elegans	protein_coding_gene	Y53C10A.9	CELE_Y53C10A.9	head, intestine, rectal gland cell	AVJL, male, neuron, RIML	"ABC-type transporter activity", "ATP binding", "ATP hydrolysis activity", "ATPase-coupled transmembrane transporter activity", "intracellular membrane-bounded organelle", "lipid transport", "lipid transporter activity", "membrane", "nucleotide binding", "transmembrane transport"
WBGene00000024	WBGene00000024	abu-1	Caenorhabditis elegans	protein_coding_gene	AC3.3	pqn-1, CELE_AC3.3	pharynx	anchor cell, DA neuron, intestine, VA neuron	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response", "molecular_function"
WBGene00000025	WBGene00000025	abu-2	Caenorhabditis elegans	protein_coding_gene	F19G12.7	pqn-30, CELE_F19G12.7	N.A.	IL2DR, IL2VL, neuron	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response"
WBGene00000026	WBGene00000026	abu-3	Caenorhabditis elegans	pseudogene	F31A3.1	CELE_F31A3.1	N.A.	N.A.	N.A.
WBGene00000027	WBGene00000027	abu-4	Caenorhabditis elegans	protein_coding_gene	Y5H2A.3	Y5H2A.a, Y5H2A.a, Y5H2A.c, Y5H2A.c, CELE_Y5H2A.3	N.A.	ALML, ALMR, BDUL, BDUR, DA1, DA2, DA3, DA4, DA5, DA6, DA7, DA8, DA9, DD1, DD2, DD3, DD4, DD5, DD6, g2L, g2R, GLR, I5 neuron, RIH	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response"
WBGene00000028	WBGene00000028	abu-5	Caenorhabditis elegans	protein_coding_gene	Y105C5A.4	pqn-77, CELE_Y105C5A.4	pharyngeal muscle cell	N.A.	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response"
WBGene00000029	WBGene00000029	abu-6	Caenorhabditis elegans	protein_coding_gene	C03A7.7	pqn-6, CELE_C03A7.7	pharyngeal muscle cell	pharynx	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response", "nematode pharynx development"
WBGene00000030	WBGene00000030	abu-7	Caenorhabditis elegans	protein_coding_gene	C03A7.8	pqn-7, CELE_C03A7.8	grinder	arcade cell, CANL, pharynx	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response", "nematode pharynx development", "protein binding"
WBGene00000031	WBGene00000031	abu-8	Caenorhabditis elegans	protein_coding_gene	C03A7.14	pqn-4, CELE_C03A7.14	N.A.	arcade cell, intestine, pharynx	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response", "nematode pharynx development"
WBGene00000032	WBGene00000032	abu-9	Caenorhabditis elegans	protein_coding_gene	R09F10.2	pqn-56, CELE_R09F10.2	N.A.	pharynx	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response"
WBGene00000033	WBGene00000033	abu-10	Caenorhabditis elegans	protein_coding_gene	F35A5.3	pqn-33, CELE_F35A5.3	N.A.	arcade cell, AVDL, AVDR, AVJL, AVJR, pharyngeal-intestinal valve cell, pharynx	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response", "protein binding"
WBGene00000034	WBGene00000034	abu-11	Caenorhabditis elegans	protein_coding_gene	T01D1.6	pqn-61, CELE_T01D1.6	pharyngeal muscle cell	anterior distal tip cell, g1AL, g1AR, pharyngeal muscle cell, pharynx, sensory neuron	"endoplasmic reticulum membrane", "endoplasmic reticulum unfolded protein response", "protein binding"
WBGene00000035	WBGene00000035	ace-1	Caenorhabditis elegans	protein_coding_gene	W09B12.1	ACE1, cest-23, CELE_W09B12.1	anal sphincter muscle, body wall musculature, CEPDL, CEPDR, CEPVL, CEPVR, diagonal muscle, M cell, M.vlpaaapp, M.vlpaapaa, M.vrpaaapp, M.vrpaapaa, OLLL, OLLR, pm5, spicule protractor muscle, spicule retractor muscle	ADEL, AFD, anal sphincter muscle, body wall muscle cell, CEPDL, CEPVL, coelomocyte, dopaminergic neuron, GABAergic neuron, head mesodermal cell, M.vrpaapaa, M.vrpaapap, MSpppaaa, mu_int_L, muscle cell, OLLL, PDEL, RIAL, vulval muscle	"acetylcholine catabolic process in synaptic cleft", "acetylcholine catabolic process", "acetylcholinesterase activity", "carboxylic ester hydrolase activity", "choline metabolic process", "cholinesterase activity", "extracellular region", "extracellular space", "hydrolase activity", "identical protein binding", "membrane", "plasma membrane", "regulation of locomotion", "synapse", "synaptic cleft"
WBGene00000036	WBGene00000036	ace-2	Caenorhabditis elegans	protein_coding_gene	Y44E3A.2	cest-20, CELE_Y44E3A.2	AS1, AS10, AS11, AS2, AS3, AS4, AS5, AS6, AS7, AS8, AS9, AVAL, AVAR, AVBL, AVBR, AVDL, AVDR, AVEL, AVER, AWBL, AWBR, AWCL, AWCR, DA1, DA2, DA3, DA4, DA5, DA6, DA7, DA8, DA9, DB1, DB2, DB3, DB4, DB5, DB6, DB7, DVA, hyp10, hyp11, hyp8, hyp9, inner labial neuron, M4 neuron, nerve ring, PDA, pharyngeal-intestinal valve, pm5, PVCL, PVCR, PVQL, PVQR, RIH, VA1, VA10, VA11, VA12, VA2, VA3, VA4, VA5, VA6, VA7, VA8, VA9, VB1, VB10, VB11, VB2, VB3, VB4, VB5, VB6, VB7, VB8, VB9, ventral nerve cord	ASGL, ASGR, ASHL, ASHR, ASKL, ASKR, AVFL, CEPshDL, CEPshDR, CEPshVL, CEPshVR, DA neuron, K cell, K' cell, neuron, RIGL, somatic gonad precursor, VA neuron	"acetylcholine catabolic process in synaptic cleft", "acetylcholine catabolic process", "acetylcholinesterase activity", "carboxylic ester hydrolase activity", "choline metabolic process", "cholinesterase activity", "extracellular space", "hydrolase activity", "identical protein binding", "plasma membrane", "protein homodimerization activity", "regulation of locomotion", "synapse", "synaptic cleft", "synaptic transmission, cholinergic"
WBGene00000037	WBGene00000037	ace-3	Caenorhabditis elegans	protein_coding_gene	Y48B6A.8	cest-21, CELE_Y48B6A.8	AIAL, AIAR, body wall musculature, CANL, CANR, DVA, head neuron, IL2DL, IL2DR, IL2L, IL2R, IL2VL, IL2VR, neuron, PDA, pm3, pm4, pm5, pm7, PQR, RIH, RIVL, RIVR, RMDDL, RMDDR, RMDL, RMDR, RMDVL, RMDVR, SIADL, SIADR, SIAVL, SIAVR, SMDDL, SMDDR, SMDVL, SMDVR, tail neuron, URADL, URADR, URAVL, URAVR, URBL, URBR, URXL, URXR, vulva	ABalapppaa, AIM, AIML, ALA, AS11, AVJL, AVL, BDUL, CAN, CANL, CANR, DA neuron, DVB, excretory gland cell, GABAergic neuron, head mesodermal cell, I2L, IL2DL, IL2DR, IL2L, IL2R, IL2VL, IL2VR, M1 neuron, M2 neuron, m2L, neuron, OLL, PDB, pharyngeal-intestinal valve, PVD, PVWL, RIBL, RICL, RICR, RID, RIH, RIML, RIMR, RIR, RIS, RIVL, RMED, RMEL, RMEV, RMGL, SAADL, SAAVL, sensory neuron, SMBDL, URA, VA neuron, VA1, VA12, VD neuron	"acetylcholine catabolic process in synaptic cleft", "acetylcholine catabolic process", "acetylcholinesterase activity", "carboxylic ester hydrolase activity", "choline metabolic process", "cholinesterase activity", "extracellular space", "hatching", "hydrolase activity", "identical protein binding", "multicellular organismal movement", "nematode larval development", "plasma membrane", "protein homodimerization activity", "regulation of backward locomotion", "synaptic cleft"
WBGene00000038	WBGene00000038	ace-4	Caenorhabditis elegans	protein_coding_gene	Y48B6A.7	cest-22, CELE_Y48B6A.7	AIAL, AIAR, body wall musculature, DVA, IL2DL, IL2DR, IL2L, IL2R, IL2VL, IL2VR, neuron, PDA, pm3, pm4, pm5, pm7, RIH, RIVL, RIVR, RMDDL, RMDDR, RMDL, RMDR, RMDVL, RMDVR, SIADL, SIADR, SIAVL, SIAVR, SMDDL, SMDDR, SMDVL, SMDVR, URADL, URADR, URAVL, URAVR, URBL, URBR, URXL, URXR	ABalapppaa, AIML, ALA, AVE, AVJL, CANL, CANR, head mesodermal cell, neuron, RIML, RIMR, RIS, RMED, sensory neuron	"acetylcholinesterase activity", "carboxylic ester hydrolase activity", "cholinesterase activity", "extracellular space", "hydrolase activity", "plasma membrane"
WBGene00000039	WBGene00000039	acn-1	Caenorhabditis elegans	protein_coding_gene	C42D8.5	CELE_C42D8.5	excretory gland cell, hyp7 syncytium, hypodermis, male, male-specific anatomical entity, ray precursor cell, seam cell, vulva	ABarpaapap, ABarpaappa, ABarpaappp, ABarppaapa, ABarpppapa, ABplaapppa, ABplaapppp, ABplappppa, ABpraapppa, ABpraapppp, ABprappppa, AMsoL, anterior arcade cell, anterior hypodermis, arcade cell, ASER, Caaaaa, Caaaap, Caaapa, Caaapp, Caappd, Cpaaaa, Cpaaap, Cpaapa, Cpaapp, Cpapaa, Cpapap, Cpappd, excretory duct cell, excretory pore, G2, hyp1, hyp10, hyp11, hyp12, hyp2, hyp3, hyp4, hyp5, hyp6, hyp8, hypodermis, ILshDL, ILsoDL, ILsoL, ILsoVL, intestine, K' cell, OLL, OLLshL, OLLsoL, OLQshDL, OLQsoDL, OLQsoVL, PDEshL, PDEsoL, PHshL, PHso1L, posterior arcade cell, PVD, rectal epithelial cell, seam cell, sensory neuron, tail hypodermis, ut4, ventral cord blast cell, vulA, vulB1, vulC, vulD, vulF, W cell	"cellular_component", "ecdysis, collagen and cuticulin-based cuticle", "membrane", "metallopeptidase activity", "nematode male tail tip morphogenesis", "peptidyl-dipeptidase activity", "plasma membrane fusion", "proteolysis"
WBGene00000040	WBGene00000040	aco-1	Caenorhabditis elegans	protein_coding_gene	ZK455.1	gei-22, CELE_ZK455.1	hypodermis, intestine, seam cell	ABarpaapap, ABarpaappa, ABarpaappp, ABarppaapa, ABarpppapa, ABplaapppa, ABplaapppp, ABplappppa, ABpraapppa, ABpraapppp, ABprappppa, AFD, Caaaaa, Caaaap, Caaapa, Caaapp, Caappd, Cpaaaa, Cpaaap, Cpaapa, Cpaapp, Cpapaa, Cpapap, Cpappd, G2, intestine, sensory neuron, tail precursor cell, VB2, W cell	"4 iron, 4 sulfur cluster binding", "aconitate hydratase activity", "cytoplasm", "cytosol", "intracellular iron ion homeostasis", "iron-sulfur cluster binding", "lyase activity", "metal ion binding", "RNA binding", "tricarboxylic acid cycle", "tricarboxylic acid metabolic process"
WBGene00000041	WBGene00000041	aco-2	Caenorhabditis elegans	protein_coding_gene	F54H12.1	CELE_F54H12.1	Cell	germ line, intestine, muscle cell	"4 iron, 4 sulfur cluster binding", "aconitate hydratase activity", "cytosol", "iron-sulfur cluster binding", "lyase activity", "metal ion binding", "mitochondrion", "tricarboxylic acid cycle"
WBGene00000042	WBGene00000042	acr-2	Caenorhabditis elegans	protein_coding_gene	K11G12.2	CELE_K11G12.2	AVEL, AVER, DA neuron, DA1, DA2, DA3, DA4, DA5, DA6, DA7, DA8, DA9, DB neuron, DB1, DB2, DB3, DB4, DB5, DB6, DB7, DVB, DVC, nerve ring, neuron, PVQL, PVQR, RIGL, RIGR, RIVL, RIVR, SAADL, SAADR, SAAVL, SAAVR, SABVL, SABVR, SDQL, SDQR, SMBDL, SMBDR, SMBVL, SMBVR, URADL, URADR, URAVL, URAVR, URBL, URBR, VA neuron, VA1, VA10, VA11, VA12, VA2, VA3, VA4, VA5, VA6, VA7, VA8, VA9, VB neuron, VB1, VB10, VB11, VB2, VB3, VB4, VB5, VB6, VB7, VB8, VB9, ventral nerve cord, vulval muscle	anal sphincter muscle, AS neuron, AS1, AS10, AS11, AS2, AS3, AS4, AS5, AS6, AS7, AS8, AS9, AVFL, AVG, AVKL, AVKR, CEPshDL, CEPshDR, CEPshVL, CEPshVR, CP neuron, DA neuron, DA1, DA2, DA3, DA4, DA5, DA6, DA7, DA8, DA9, DB neuron, DB1, DB2, DB3, DB4, DB5, DB6, DB7, DVA, I5 neuron, IL1 neuron, IL1L, M4 neuron, male gonadal cell, neuron, retrovesicular ganglion, RIGL, RIS, RMDDL, RMDDR, RMDL, RMDR, RMDVL, RMDVR, SAB, SIBDL, SIBDR, SIBVL, SIBVR, SMDDL, SMDDR, SMDVL, SMDVR, uv3, VA neuron, VA1, VA10, VA11, VA12, VA2, VA3, VA4, VA5, VA6, VA7, VA8, VA9, VB1, VB2, VB3, VD neuron	"acetylcholine-gated channel complex", "acetylcholine-gated monoatomic cation-selective channel activity", "calcium ion import across plasma membrane", "chemical synaptic transmission", "excitatory extracellular ligand-gated monoatomic ion channel activity", "excitatory postsynaptic potential", "extracellular ligand-gated monoatomic ion channel activity", "inorganic cation transmembrane transport", "membrane", "monoatomic ion channel activity", "monoatomic ion transmembrane transport", "monoatomic ion transport", "neuromuscular synaptic transmission", "neuron projection", "plasma membrane", "positive regulation of translation", "postsynaptic membrane", "regulation of gene expression", "regulation of locomotion", "regulation of membrane potential", "regulation of muscle contraction", "regulation of postsynaptic membrane potential", "synapse", "transmembrane signaling receptor activity", "transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential"
WBGene00000043	WBGene00000043	acr-3	Caenorhabditis elegans	protein_coding_gene	K11G12.7	CELE_K11G12.7	N.A.	AVA, AVE, AVHL, AVHR, AVJL, M4 neuron, MCL, neuron, NSM, NSML, RIBL, RIBR, RICL, RICR, RIM, RIML, RIMR, ventral nerve cord	"acetylcholine-gated channel complex", "acetylcholine-gated monoatomic cation-selective channel activity", "calcium ion import across plasma membrane", "chemical synaptic transmission", "excitatory extracellular ligand-gated monoatomic ion channel activity", "excitatory postsynaptic potential", "extracellular ligand-gated monoatomic ion channel activity", "inorganic cation transmembrane transport", "membrane", "monoatomic ion channel activity", "monoatomic ion transmembrane transport", "monoatomic ion transport", "neuron projection", "plasma membrane", "postsynaptic membrane", "regulation of membrane potential", "regulation of postsynaptic membrane potential", "synapse", "transmembrane signaling receptor activity", "transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential"
WBGene00000044	WBGene00000044	acr-5	Caenorhabditis elegans	protein_coding_gene	K03F8.2	CELE_K03F8.2	ADAL, ADAR, AIML, AIMR, ALA, ALNL, ALNR, ASGL, ASGR, AVDL, AVDR, AVFL, AVFR, AVG, AVHL, AVHR, CEPDL, CEPDR, CEPVL, CEPVR, DB neuron, DB1, DB2, DB3, DB4, DB5, DB6, DB7, DVB, DVC, head neuron, nerve ring, nervous system, neuron, OLLL, OLLR, PHCL, PHCR, PLNL, PLNR, PVCL, PVCR, PVNL, PVNR, PVQL, PVQR, PVT, PVWL, PVWR, RIGL, RIGR, RMDDL, RMDDR, RMDL, RMDR, RMDVL, RMDVR, SMDDL, SMDDR, SMDVL, SMDVR, tail, tail neuron, URADL, URADR, URAVL, URAVR, URYDL, URYDR, URYVL, URYVR, VB neuron, VB1, VB10, VB11, VB2, VB3, VB4, VB5, VB6, VB7, VB8, VB9, ventral cord neuron	ALA, AVDL, AVG, dopaminergic neuron, dorsal-rectal ganglion neuron, DVA, DVC, GLR, GLRDL, GLRL, GLRVL, neuron, OLLL, PVCL, PVN, sensory neuron, URADL, URAVL, URAVR, URBL	"cellular response to nicotine", "chemical synaptic transmission", "excitatory extracellular ligand-gated monoatomic ion channel activity", "excitatory postsynaptic potential", "extracellular ligand-gated monoatomic ion channel activity", "membrane", "monoatomic ion channel activity", "monoatomic ion transmembrane transport", "monoatomic ion transport", "neuron projection", "plasma membrane", "postsynaptic membrane", "regulation of membrane potential", "regulation of postsynaptic membrane potential", "synapse", "transmembrane signaling receptor activity", "transmembrane transporter complex", "transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential"
WBGene00000045	WBGene00000045	acr-6	Caenorhabditis elegans	protein_coding_gene	ZK973.5	CELE_ZK973.5	N.A.	AVE, AVJL, dorsal-rectal ganglion neuron, neuron, PVW, RIM, RIML, RIMR, RMED, RMEV, ventral nerve cord	"acetylcholine-gated channel complex", "acetylcholine-gated monoatomic cation-selective channel activity", "chemical synaptic transmission", "excitatory postsynaptic potential", "extracellular ligand-gated monoatomic ion channel activity", "membrane", "monoatomic ion channel activity", "monoatomic ion transmembrane transport", "monoatomic ion transport", "neuron projection", "plasma membrane", "postsynaptic membrane", "regulation of membrane potential", "regulation of postsynaptic membrane potential", "synapse", "transmembrane signaling receptor activity"
WBGene00000046	WBGene00000046	acr-7	Caenorhabditis elegans	protein_coding_gene	T09A5.3	CELE_T09A5.3	pharyngeal muscle cell, tail, vulva	ABplppppap, ABprppppap, AFD, g2L, GLRL, GLRVL, mc3, Pharyngeal gland cell, pharyngeal muscle cell, pm6, pm7, PVR, tail precursor cell	"acetylcholine-gated channel complex", "chemical synaptic transmission", "excitatory extracellular ligand-gated monoatomic ion channel activity", "excitatory postsynaptic potential", "extracellular ligand-gated monoatomic ion channel activity", "membrane", "monoatomic ion channel activity", "monoatomic ion transmembrane transport", "monoatomic ion transport", "neuron projection", "plasma membrane", "postsynaptic membrane", "regulation of membrane potential", "regulation of postsynaptic membrane potential", "synapse", "transmembrane signaling receptor activity", "transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential"
