gene,wormbase_id
srab-5,WBGene00016470
srt-72,WBGene00016478
srbc-18,WBGene00016688
srt-71,WBGene00016851
srt-9,WBGene00016853
srt-10,WBGene00016854
srbc-15,WBGene00017496
srt-60,WBGene00018553
srz-88,WBGene00019050
srz-89,WBGene00019469
srsx-20,WBGene00019853
srab-15,WBGene00020059
srz-7,WBGene00020547
srbc-69,WBGene00020751
srz-27,WBGene00021181
srz-28,WBGene00021182
srd-76,WBGene00021218
srsx-4,WBGene00022407
srz-8,WBGene00022483
srh-188,WBGene00022658
srz-80,WBGene00023464
srz-81,WBGene00023465
srz-87,WBGene00023470
srz-86,WBGene00023471
srz-55,WBGene00023476
srz-68,WBGene00023480
srz-22,WBGene00023481
srz-84,WBGene00023488
srz-26,WBGene00023507
srz-39,WBGene00023509
srz-40,WBGene00023510
srz-41,WBGene00023511
srz-51,WBGene00023512
srz-98,WBGene00023516
srz-76,WBGene00023518
srbc-72,WBGene00044093
srh-121,WBGene00044095
srh-96,WBGene00044096
srh-64,WBGene00044097
srbc-28,WBGene00044101
srbc-46,WBGene00044102
srbc-47,WBGene00044103
srbc-53,WBGene00044104
srh-191,WBGene00044119
srsx-23,WBGene00044126
srg-52,WBGene00045309
M01G12.11,WBGene00010824
T26E3.12,WBGene00077686
K02E7.8,WBGene00023315
F39E9.8,WBGene00023281
F39E9.9,WBGene00023282
W10G11.8,WBGene00023358
srw-62,WBGene00005809
ZK829.12,WBGene00014991
Y45F10B.17,WBGene00045045
Y45F10B.18,WBGene00045059
srz-59,WBGene00010394
T27E7.12,WBGene00045313
Y57G11C.26,WBGene00014923
Y57G11C.29,WBGene00014925
Y57G11C.28,WBGene00014924
Y57G11C.30,WBGene00014926
Y73F8A.4,WBGene00014948
Y105C5A.19,WBGene00014961
Y105C5A.20,WBGene00014962
Y7A9C.12,WBGene00045106
Y7A9C.2,WBGene00014862
C35D6.13,WBGene00045101
C35D6.12,WBGene00045040
F58E2.6,WBGene00023302
F58E2.1,WBGene00023301
srz-69,WBGene00023475
C33A12.18,WBGene00014693
T19C4.10,WBGene00014841
ZC455.13,WBGene00194786
ZK1037.12,WBGene00045514
ZK1037.2,WBGene00014993
R08H2.15,WBGene00077589
T23F1.2,WBGene00014845
K08G2.16,WBGene00050949
H24D24.3,WBGene00077604
F22B8.2,WBGene00014741
F22B8.9,WBGene00077608
F44G3.4,WBGene00014757
F21H7.6,WBGene00014740
C31A11.12,WBGene00077614
F26D2.8,WBGene00014745
F36D3.15,WBGene00077619
T03E6.11,WBGene00050961
Y70C5C.8,WBGene00077621
Y102A5C.42,WBGene00077626
srh-237,WBGene00005444
Y68A4A.8,WBGene00014943
Y61B8A.3,WBGene00014937
T27C5.15,WBGene00077631
T27C5.17,WBGene00077633
T27C5.6,WBGene00012079
Y6G8.10,WBGene00077459
C47A10.13,WBGene00050897
Y59A8A.6,WBGene00014927
ZK262.12,WBGene00014984
Y60A3A.17,WBGene00014934
K02E2.5,WBGene00014794
T03D3.7,WBGene00023335
T03D3.8,WBGene00023336
T03D3.9,WBGene00023337
T03D3.10,WBGene00023338
T03D3.13,WBGene00023339
srh-146,WBGene00005362
srh-85,WBGene00005306
srw-135,WBGene00005882
D1065.2,WBGene00023264
sri-72,WBGene00005584
srj-52,WBGene00005631
sre-10,WBGene00017330
R03H4.8,WBGene00023327
T07C12.4,WBGene00014833
